sample_name,replicate_id,group_type,tc_conc_uM,otc_conc_uM,ctc_conc_uM,tc_present,otc_present,ctc_present,tris10_hsv_mean_h,tris10_hsv_mean_s,tris10_hsv_mean_v,tris10_hsv_std_h,tris10_hsv_std_s,tris10_hsv_std_v,tris10_lab_mean_a,tris10_lab_mean_b,tris10_lab_mean_l,tris10_lab_std_a,tris10_lab_std_b,tris10_lab_std_l,tris10_mean_b,tris10_mean_g,tris10_mean_r,tris10_norm_b,tris10_norm_g,tris10_norm_r,tris10_std_b,tris10_std_g,tris10_std_r,tris5_hsv_mean_h,tris5_hsv_mean_s,tris5_hsv_mean_v,tris5_hsv_std_h,tris5_hsv_std_s,tris5_hsv_std_v,tris5_lab_mean_a,tris5_lab_mean_b,tris5_lab_mean_l,tris5_lab_std_a,tris5_lab_std_b,tris5_lab_std_l,tris5_mean_b,tris5_mean_g,tris5_mean_r,tris5_minus_tris10_mean_b,tris5_minus_tris10_mean_g,tris5_minus_tris10_mean_r,tris5_norm_b,tris5_norm_g,tris5_norm_r,tris5_std_b,tris5_std_g,tris5_std_r,tris8_hsv_mean_h,tris8_hsv_mean_s,tris8_hsv_mean_v,tris8_hsv_std_h,tris8_hsv_std_s,tris8_hsv_std_v,tris8_lab_mean_a,tris8_lab_mean_b,tris8_lab_mean_l,tris8_lab_std_a,tris8_lab_std_b,tris8_lab_std_l,tris8_mean_b,tris8_mean_g,tris8_mean_r,tris8_minus_tris10_mean_b,tris8_minus_tris10_mean_g,tris8_minus_tris10_mean_r,tris8_minus_tris5_mean_b,tris8_minus_tris5_mean_g,tris8_minus_tris5_mean_r,tris8_norm_b,tris8_norm_g,tris8_norm_r,tris8_std_b,tris8_std_g,tris8_std_r,water_hsv_mean_h,water_hsv_mean_s,water_hsv_mean_v,water_hsv_std_h,water_hsv_std_s,water_hsv_std_v,water_lab_mean_a,water_lab_mean_b,water_lab_mean_l,water_lab_std_a,water_lab_std_b,water_lab_std_l,water_mean_b,water_mean_g,water_mean_r,water_minus_tris10_mean_b,water_minus_tris10_mean_g,water_minus_tris10_mean_r,water_minus_tris5_mean_b,water_minus_tris5_mean_g,water_minus_tris5_mean_r,water_minus_tris8_mean_b,water_minus_tris8_mean_g,water_minus_tris8_mean_r,water_norm_b,water_norm_g,water_norm_r,water_std_b,water_std_g,water_std_r
binary_TC0_OTC12_CTC48,R1,binary,0,12,48,0,1,1,102.81658172607422,189.5433349609375,236.97491455078125,1.3883333206176758,10.969720840454102,11.679727554321287,123.99024200439452,81.95960235595703,163.39170837402344,5.359569072723389,4.60847282409668,15.250346183776855,236.97491455078125,161.72622680664062,61.20703125,0.5152657175176213,0.35164895176735705,0.13308533071502165,11.679727554321287,18.041637420654297,12.481372833251951,109.64581298828124,18.754926681518555,155.329833984375,2.779486894607544,1.97508442401886,9.890186309814451,127.93344116210938,123.59617614746094,156.03131103515625,0.6891043782234192,0.5373714566230774,9.260420799255373,155.329833984375,147.84246826171875,143.9281768798828,-81.64508056640625,-13.883758544921875,82.72114562988281,0.34741594168725715,0.3306694471693065,0.32191461114343634,9.890186309814451,9.536920547485352,9.544118881225586,89.38370513916016,66.70633697509766,213.50860595703125,0.7723197340965271,2.7659568786621094,16.008188247680664,110.20745849609376,122.73352813720705,208.5122528076172,0.8884258270263672,0.6720759272575378,14.29696273803711,212.4615173339844,213.41693115234372,157.81979370117188,-24.513397216796847,51.6907043457031,96.61276245117188,57.1316833496094,65.57446289062497,13.891616821289062,0.3639920458518974,0.3656288741808277,0.27037907996727495,15.77051067352295,16.07417106628418,13.850985527038574,111.1091537475586,12.768197059631348,187.46470642089844,2.478585958480835,1.6025952100753784,14.055692672729492,128.09710693359375,124.22128295898438,187.79312133789065,0.4464963376522064,0.4604412913322449,12.884114265441896,187.46470642089844,180.8898162841797,178.0655517578125,-49.51020812988281,19.163589477539062,116.8585205078125,32.13487243652344,33.04734802246094,34.13737487792969,-24.996810913085966,-32.527114868164034,20.245758056640625,0.3430780002092142,0.33104533441965367,0.32587666537113213,14.055692672729492,13.800549507141112,13.577430725097656
binary_TC0_OTC12_CTC48,R2,binary,0,12,48,0,1,1,102.91799926757812,187.43557739257807,237.0031280517578,1.315383791923523,12.571971893310549,11.920239448547363,124.04642486572266,82.21366882324219,163.8255615234375,5.240969181060791,4.742126941680908,15.533005714416504,237.0031280517578,162.1266632080078,63.26593780517578,0.5125547515999478,0.35062318489805483,0.13682206350199735,11.920239448547363,18.233301162719727,14.168827056884766,111.2838363647461,17.65964698791504,157.39297485351562,4.360123634338379,2.45373797416687,9.636709213256836,128.30081176757812,123.61752319335938,158.0143280029297,0.9532122015953064,0.7574941515922546,9.047019958496094,157.39297485351562,149.73829650878906,146.5016632080078,-79.61015319824219,-12.38836669921875,83.23572540283203,0.34696108430178346,0.33008691630960013,0.32295199938861635,9.636709213256836,9.447189331054688,9.111480712890623,89.71353912353516,64.40727233886719,223.99481201171875,1.1275163888931274,3.487845659255981,17.204614639282227,110.1939926147461,122.5239715576172,217.6693878173828,1.0929890871047974,0.9063188433647156,15.399582862854004,222.9409942626953,223.52972412109372,167.60133361816406,-14.0621337890625,61.40306091308591,104.33539581298828,65.54801940917969,73.79142761230466,21.09967041015625,0.3630534780664244,0.36401220897834113,0.2729343129552344,16.845067977905273,17.40767478942871,15.362741470336914,111.7116928100586,12.82575511932373,187.4499664306641,5.244437217712402,2.2875566482543945,14.218239784240724,128.2793426513672,124.1708526611328,187.6636199951172,0.917239785194397,0.7680341005325317,12.905077934265137,187.4497833251953,180.73385620117188,178.0460662841797,-49.5533447265625,18.607192993164062,114.7801284790039,30.056808471679688,30.995559692382812,31.544403076171875,-35.4912109375,-42.79586791992185,10.444732666015625,0.343170247482311,0.33087518726756543,0.32595456525012356,14.21841812133789,13.787585258483888,13.60880184173584
binary_TC0_OTC12_CTC48,R3,binary,0,12,48,0,1,1,102.11042022705078,183.93792724609372,241.2758331298828,1.7615221738815308,13.643890380859377,8.097515106201172,121.42510223388672,84.12825775146484,170.78158569335938,6.418798923492432,6.282699108123779,15.425111770629885,241.2758331298828,170.51895141601562,67.54534149169922,0.5033499597130703,0.3557368602240505,0.14091318006287923,8.097515106201172,18.758092880249023,14.499594688415527,111.03816223144533,18.65749931335449,155.3437957763672,4.014482498168945,2.614149570465088,9.790199279785156,128.29473876953125,123.46682739257812,155.7665252685547,0.9236465692520142,0.823925256729126,9.01455783843994,155.3437957763672,147.43299865722656,143.97608947753906,-85.93203735351562,-23.085952758789062,76.43074798583984,0.34771749969781474,0.3300101778113057,0.32227232249087956,9.790199279785156,9.374768257141112,9.075033187866213,89.1405029296875,64.46553039550781,224.28933715820312,1.1613154411315918,3.634926080703736,17.05537986755371,109.91218566894533,122.98494720458984,218.0266571044922,1.0440253019332886,1.019380807876587,15.204774856567385,222.55860900878903,224.05230712890625,167.7758331298828,-18.71722412109378,53.533355712890625,100.2304916381836,67.21481323242185,76.61930847167969,23.79974365234375,0.36224513187191176,0.36467633358955603,0.27307853453853215,16.953388214111328,17.139463424682617,15.352590560913086,109.46435546875,12.621023178100586,191.12786865234372,4.343486309051514,2.158233642578125,13.550477981567385,127.9281997680664,124.38275146484376,191.5310516357422,0.7475466132164001,0.7485926747322083,12.534825325012209,191.12738037109372,185.02772521972656,181.71055603027344,-50.14845275878909,14.508773803710938,114.16521453857422,35.783584594726534,37.5947265625,37.734466552734375,-31.431228637695312,-39.02458190917969,13.934722900390625,0.3426046690446934,0.33167075507400323,0.3257245758813033,13.550396919250488,13.46308135986328,13.464192390441896
binary_TC0_OTC18_CTC42,R1,binary,0,18,42,0,1,1,99.50867462158205,155.77220153808594,245.4674224853516,2.804562568664551,16.479021072387695,6.097317695617676,113.00230407714844,95.15756225585938,192.4745178222656,6.967795848846436,8.36887264251709,17.770294189453125,245.4674224853516,196.8483428955078,95.8299789428711,0.45613558236685897,0.3657900205879737,0.17807439704516734,6.097317695617676,21.898136138916016,17.609161376953125,105.58349609375,32.359188079833984,167.0196990966797,1.3348101377487185,2.3457915782928467,9.619665145874023,126.6994171142578,120.97152709960938,162.8559112548828,0.6609746217727661,0.8253686428070068,9.385000228881836,167.0196990966797,155.9129180908203,145.87135314941406,-78.4477233886719,-40.9354248046875,50.04137420654297,0.35626767191550895,0.3325759335586915,0.3111563945257996,9.619665145874023,9.74981689453125,9.352179527282717,89.21431732177734,68.45836639404297,230.51426696777344,0.625179648399353,4.033010482788086,16.368515014648438,108.32188415527344,122.66637420654295,223.05715942382807,0.7379721999168396,0.50107342004776,14.542394638061523,228.5198974609375,230.4992218017578,168.85694885253906,-16.94752502441409,33.65087890625,73.02696990966797,61.50019836425781,74.5863037109375,22.985595703125,0.36395701168689415,0.3671094241474644,0.26893356416564146,16.231204986572266,16.375627517700195,15.24729347229004,104.5658950805664,24.15642547607422,212.05323791503903,1.1329987049102783,1.3908348083496094,13.691797256469728,126.49908447265624,121.98284149169922,206.4599609375,0.7006779909133911,0.2526624798774719,12.40609359741211,212.05323791503903,202.29466247558597,192.0324249267578,-33.41418457031256,5.446319580078153,96.20244598388672,45.03353881835935,46.38174438476565,46.16107177734375,-16.466659545898466,-28.204559326171847,23.17547607421875,0.34970336117691353,0.33361020143538433,0.31668643738770214,13.691797256469728,13.57735538482666,13.230304718017578
binary_TC0_OTC18_CTC42,R2,binary,0,18,42,0,1,1,99.35905456542967,155.26419067382812,245.54747009277344,2.925753116607666,16.085384368896484,6.0070881843566895,112.61919403076172,95.55927276611328,193.23866271972656,7.123569488525391,8.449061393737793,17.794931411743164,245.54747009277344,197.8459625244141,96.34540557861328,0.4549375600124894,0.3665586919513871,0.17850374803612354,6.0070881843566895,22.03420066833496,17.237808227539062,105.18256378173828,31.27873420715332,165.77520751953125,1.94249165058136,2.354033231735229,9.587834358215332,126.54112243652344,121.47212982177734,162.38760375976562,0.8673562407493591,0.787196695804596,9.349494934082031,165.77520751953125,155.4413604736328,145.47157287597656,-79.77226257324219,-42.40460205078128,49.12616729736328,0.35521624185863904,0.3330733028359051,0.3117104553054559,9.587834358215332,9.803325653076172,9.268604278564451,89.57659912109375,67.22566223144531,231.8877410888672,0.872450053691864,4.3989081382751465,15.940964698791504,108.70939636230467,122.40912628173828,224.3092498779297,0.9649178981781006,0.7365336418151855,14.276155471801758,230.45599365234372,231.6854553222656,170.96690368652344,-15.091476440429716,33.839492797851506,74.62149810791016,64.68078613281247,76.24409484863278,25.495330810546875,0.3640071919501176,0.3659491370607043,0.27004367098917803,15.834115028381348,16.079139709472656,15.187992095947266,105.12039947509766,23.4864501953125,214.7661590576172,1.8491748571395876,1.4365894794464111,13.224491119384766,126.68763732910156,121.9361343383789,208.86880493164065,0.7834440469741821,0.4778339862823486,11.832819938659668,214.7661590576172,204.77145385742188,195.02981567382807,-30.78131103515625,6.925491333007784,98.68441009521479,48.99095153808594,49.33009338378906,49.558242797851506,-15.689834594726534,-26.91400146484372,24.06291198730463,0.34945906513586367,0.3331960730942181,0.3173448617699181,13.224491119384766,13.059146881103516,12.443151473999023
binary_TC0_OTC18_CTC42,R3,binary,0,18,42,0,1,1,99.22952270507812,156.04705810546875,245.99053955078125,2.930657148361206,16.72884178161621,5.485601902008057,112.28321838378906,95.66062927246094,193.75645446777344,7.169496059417725,8.639341354370117,17.8458194732666,245.99053955078125,198.5707092285156,95.73908233642578,0.45528482102316997,0.367519132957898,0.177196046018932,5.485601902008057,22.108945846557617,17.698062896728516,105.1284637451172,32.022987365722656,165.8250732421875,1.9615867137908936,2.7184255123138428,9.25181770324707,126.52361297607422,121.2784652709961,162.18634033203125,0.8956709504127502,0.937644898891449,9.273756980895996,165.8250732421875,155.2694549560547,145.04904174804688,-80.16546630859375,-43.30125427246091,49.309959411621094,0.3557381972710565,0.3330936324487871,0.3111681702801564,9.25181770324707,9.670105934143066,9.17844295501709,89.22008514404297,67.99250793457031,229.05609130859372,0.857241153717041,3.377889633178711,16.08042335510254,108.58212280273438,122.69512176513672,221.797607421875,0.9021702408790588,0.6952394247055054,14.254199981689451,227.1056365966797,228.94618225097656,168.15750122070312,-18.884902954101562,30.375473022460966,72.41841888427734,61.28056335449219,73.67672729492188,23.10845947265625,0.36382929458952734,0.3667778978787178,0.2693928075317549,15.776640892028809,16.130048751831055,14.384799003601074,105.31048583984376,21.986238479614254,215.89617919921875,1.882204294204712,1.4374721050262451,13.112360000610352,126.83800506591795,122.13370513916016,210.46063232421875,0.706259548664093,0.579999566078186,11.708462715148926,215.89617919921875,206.3863983154297,197.33909606933597,-30.0943603515625,7.815689086914091,101.60001373291018,50.07110595703125,51.116943359375,52.29005432128909,-11.209457397460938,-22.559783935546875,29.18159484863284,0.34843225859167093,0.3330845370880265,0.31848320432030264,13.112360000610352,12.840862274169922,12.613750457763672
binary_TC0_OTC30_CTC30,R1,binary,0,30,30,0,1,1,99.40078735351562,155.9574737548828,230.6922607421875,1.2866253852844238,10.233262062072754,18.32132339477539,112.74861145019533,97.37867736816406,182.8292388916016,3.5006141662597656,3.2740840911865234,18.728513717651367,230.6922607421875,186.3701171875,90.21131134033205,0.45476882720678824,0.36739559162962226,0.17783558116358952,18.32132339477539,21.45647621154785,15.694883346557615,104.5032196044922,46.01432800292969,184.7634429931641,0.8539575934410095,2.4420242309570312,11.337013244628906,125.32073211669922,117.9922332763672,174.41085815429688,0.4848480820655823,0.4121629893779754,10.58654499053955,184.7634429931641,168.9391326904297,151.52249145507812,-45.92881774902341,-17.430984497070312,61.31118011474608,0.3657052173590014,0.33438390863543604,0.2999108740055626,11.337013244628906,11.11877155303955,10.907940864562988,89.7220458984375,77.89568328857422,221.28538513183597,0.4621179103851318,2.8709845542907715,15.520090103149414,106.75514221191406,121.9113998413086,214.02284240722656,0.8777016401290894,0.311960220336914,13.700777053833008,219.978271484375,221.26837158203125,153.85693359375,-10.7139892578125,34.89825439453125,63.645622253417955,35.21482849121091,52.32923889160156,2.334442138671875,0.3696470330743739,0.3718148911553093,0.2585380757703168,15.029584884643556,15.540655136108398,13.04628086090088,103.24442291259766,42.377254486083984,218.1841583251953,0.7043665647506714,1.4331899881362915,13.197465896606444,124.61275482177734,117.44707489013672,204.8498077392578,0.6135181784629822,0.6724951863288879,11.531129837036133,218.1841583251953,201.94049072265625,181.97189331054688,-12.508102416992188,15.57037353515625,91.76058197021483,33.42071533203122,33.00135803222656,30.44940185546875,-1.7941131591796875,-19.327880859375,28.114959716796875,0.36237404299080167,0.3353955329682844,0.30223042404091394,13.197465896606444,12.683006286621094,11.681707382202148
binary_TC0_OTC30_CTC30,R2,binary,0,30,30,0,1,1,99.46971130371094,155.41705322265625,229.5038604736328,1.2554055452346802,10.303508758544922,18.704160690307617,112.91099548339844,97.51912689208984,182.00238037109372,3.398831844329834,3.0015013217926025,18.79298591613769,229.5038604736328,185.39483642578125,90.31088256835938,0.45427456208453093,0.36696619375485795,0.17875924416061112,18.704160690307617,21.429834365844727,16.0561580657959,104.079345703125,46.86922073364258,183.96469116210935,1.3517839908599854,3.0060269832611084,10.725995063781738,125.17091369628906,117.89212799072266,173.62513732910156,0.9063060879707336,0.7555043697357178,10.113962173461914,183.96469116210935,168.19894409179688,150.24562072753906,-45.539169311523466,-17.195892333984375,59.93473815917969,0.3661650118343031,0.33478472398607384,0.299050264179623,10.725995063781738,10.683664321899414,10.41407871246338,89.54851531982422,77.9422607421875,220.5541076660156,0.7332868576049805,3.106172800064087,15.32997989654541,106.79012298583984,121.96771240234376,213.2841033935547,1.0862677097320557,0.6584073305130005,13.54175853729248,218.98745727539065,220.41482543945312,153.28404235839844,-10.516403198242159,35.019989013671875,62.97315979003906,35.02276611328131,52.21588134765625,3.038421630859375,0.36948289172747306,0.371891194574491,0.258625913698036,14.899826049804688,15.385821342468262,12.831459999084473,103.38877868652344,43.445919036865234,217.4888153076172,1.1357316970825195,1.667695164680481,13.515597343444824,124.59741973876952,117.24979400634766,203.75091552734372,0.8036086559295654,0.918045163154602,11.584916114807127,217.4888153076172,200.7413024902344,180.4542999267578,-12.015045166015625,15.346466064453153,90.14341735839844,33.52412414550784,32.54235839843753,30.20867919921875,-1.498641967773466,-19.67352294921872,27.170257568359375,0.36327789544651307,0.33530403756486943,0.30141806698861756,13.515597343444824,12.724790573120115,11.56181526184082
binary_TC0_OTC30_CTC30,R3,binary,0,30,30,0,1,1,99.76173400878906,160.73936462402344,225.2071685791016,1.0134880542755127,8.471134185791016,19.89018821716309,113.73667907714844,96.48219299316406,176.42584228515625,3.0070955753326416,2.173089504241944,18.516061782836918,225.2071685791016,179.1119384765625,83.85782623291016,0.4613228385495546,0.3668996346672626,0.17177752678318292,19.89018821716309,20.925758361816406,14.461400032043455,103.6785659790039,46.38777923583984,182.75547790527344,1.28094744682312,2.941258430480957,10.92939281463623,124.98577880859376,118.27491760253906,173.0948486328125,0.8255013823509216,0.7260575294494629,10.276824951171877,182.75547790527344,167.7170867919922,149.60867309570312,-42.45169067382815,-11.394851684570312,65.75084686279297,0.36545157885114127,0.3353796825735467,0.29916873857531207,10.92939281463623,10.817034721374512,10.695352554321287,89.55387115478516,78.22541046142578,220.55645751953125,0.709338366985321,3.1367361545562744,15.359063148498535,106.73384857177734,121.93682098388672,213.25135803222656,1.0596033334732056,0.6393370628356934,13.606573104858398,219.00900268554688,220.4170379638672,153.0623779296875,-6.198165893554716,41.30509948730469,69.20455169677734,36.25352478027344,52.699951171875,3.453704833984375,0.3696426728656934,0.37201915016747267,0.2583381769668339,14.830215454101562,15.43525218963623,12.945907592773438,103.30491638183594,42.42124557495117,218.19065856933597,1.0178126096725464,1.8722825050354004,13.109245300292969,124.58001708984376,117.47726440429688,204.82342529296875,0.7905800938606262,0.8841323256492615,11.557785034179688,218.19065856933597,201.90513610839844,181.94422912597656,-7.016510009765625,22.793197631835938,98.0864028930664,35.43518066406253,34.18804931640625,32.33555603027344,-0.8183441162109091,-18.51190185546875,28.881851196289062,0.36241885911637467,0.33536829467375673,0.30221284620986866,13.109245300292969,12.70753288269043,11.793546676635742
binary_TC0_OTC42_CTC18,R1,binary,0,42,18,0,1,1,94.45369720458984,145.0158233642578,180.6017303466797,0.5101979374885559,7.315616130828857,16.022396087646484,106.49913024902344,112.1815185546875,161.4462432861328,1.1192556619644165,0.8034577369689941,14.101716995239258,180.6017303466797,165.24267578125,78.34343719482422,0.4257588546903838,0.38955071056932905,0.18469043474028712,16.022396087646484,15.286348342895508,12.08079433441162,102.1462631225586,65.87513732910156,198.83447265625,0.5210464000701904,2.589253187179565,10.988203048706056,122.14933013916016,114.02741241455078,181.3330078125,0.4523681402206421,0.3876647055149078,9.787856101989746,198.83447265625,178.2221221923828,147.550048828125,18.232742309570312,12.979446411132812,69.20661163330078,0.379016306889861,0.3397252481274262,0.2812584449827128,10.988203048706056,10.4678316116333,9.838767051696776,89.7388687133789,91.32772064208984,224.8955993652344,0.4752361178398132,2.161771535873413,12.015422821044922,103.4693832397461,120.55433654785156,215.67599487304688,0.8617192506790161,0.5693471431732178,10.461931228637695,224.0539703369141,224.8092498779297,144.45066833496094,43.4522399902344,59.56657409667969,66.10723114013672,25.21949768066409,46.587127685546875,-3.0993804931640625,0.3776314269071864,0.3789044116722349,0.24346416142057878,11.518365859985352,12.0184965133667,9.303534507751465,102.2383041381836,59.3840217590332,224.2310791015625,0.4799911677837372,2.098476886749268,12.214359283447266,122.08868408203124,114.04076385498048,204.53903198242188,0.4059961438179016,0.61928391456604,10.631731986999512,224.2310791015625,203.1981658935547,172.0977325439453,43.62934875488281,37.95549011230469,93.7542953491211,25.3966064453125,24.976043701171875,24.547683715820312,0.17710876464840908,-21.611083984375,27.647064208984375,0.3740133263426876,0.33893081296798727,0.2870558606893252,12.214359283447266,11.668575286865234,10.81728744506836
